source_relative_path	bytes	sha256
phase11/output/model_predictions.tsv	6589464	06a9cba20d9f4a73d4006abdf550c383217c22da2a8113423a5de67afaac5e57
phase11/output/nonlinear_predictions.tsv	5828216	e98b8b00b282fb06d2f015cea4d805647069e1f3374fac730f532ef6aa89c044
phase13/bundle-v4/bundle.json/targets/initial_acceptance_given_initial_contact.tsv	1736422	634d06f4d93ba3fbdb4c852d9689ed8cc93a85a8b98b84b2edb7f617834e571c
phase13/bundle-v4/bundle.json/targets/rejection_given_initial_contact.tsv	1711321	98353a629e7e42b2193f86aa12186cbe758f0b3347e3b7696fcde9fe7864359a
phase13r/bundle/targets/initial_acceptance_given_initial_contact.tsv	2238134	383c8a7f24e3e65c1751a3b264cb5df4027fd15baef5e814ae85638fc343fe2a
phase13r/bundle/targets/rejection_given_initial_contact.tsv	2204960	16e5b76c0ba07a20a2d7cb863a9552324c000c3adc37e42637ebe1da36a6b1ce
phase13r/bundle-v2/targets/initial_acceptance_given_initial_contact.tsv	2238134	383c8a7f24e3e65c1751a3b264cb5df4027fd15baef5e814ae85638fc343fe2a
phase13r/bundle-v2/targets/rejection_given_initial_contact.tsv	2204960	16e5b76c0ba07a20a2d7cb863a9552324c000c3adc37e42637ebe1da36a6b1ce
phase9/output/lifecycle_audit/episode_attempt_chains.csv	1724401	4f6d69d4b626831bc176e4956d0fd7fd0f87656df3ee312cd151feb37768e091
studies/obs-open-01/discovery-execution/seal/descriptive/candidate_summaries.tsv	1682156	1176b33d823b373e38f9cf1440a18d093df556fe853d8c0423acbec74eaeb29f
studies/obs-open-01/discovery-execution/seal/formal/DISC02E_FORMAL_SURFACES.tsv	1658611	ab49af841b34fba3d3ec43f63a5050732d03509acdb68f6b9c83088c59df6b50
studies/obs-open-01/future-process-atlas/seal/atlas/visualization_projection.json	1895260	4b76528e2a31b413e7bf71659190a56dbeb8b5d445529a9afcafb8155c7e8b48
studies/obs-open-01/instrument-qualification/captures/OBS_OPEN_INST01_US30_M1_HIST_run1.tsv	5646956	4cd2ab87c44ad1dd4f9d13ee221e44c3d5709c08978c8548c5f3c0430c518f01
studies/obs-open-01/instrument-qualification/captures/OBS_OPEN_INST01_US30_M1_HIST_run2.tsv	5646956	4cd2ab87c44ad1dd4f9d13ee221e44c3d5709c08978c8548c5f3c0430c518f01
studies/obs-open-01/instrument-qualification/captures/OBS_OPEN_INST01_US30_M1_ONLINE.tsv	1327125	3de4402f0e440bb29957e8db09a9072d5764a9057e810c86ec9f796d98103a89
studies/obs-open-01/instrument-qualification/captures/OBS_OPEN_INST01_US30_M5_HIST_prepatch.tsv	5036107	3bf99462d0d3e8ee4af1073f7101ab8ada283e5605d859fe33a78b8419745b78
studies/obs-open-01/instrument-qualification/captures/OBS_OPEN_INST01_US30_M5_HIST_run1.tsv	5036107	3bf99462d0d3e8ee4af1073f7101ab8ada283e5605d859fe33a78b8419745b78
studies/obs-open-01/instrument-qualification/captures/OBS_OPEN_INST01_US30_M5_HIST_run2.tsv	5036107	3bf99462d0d3e8ee4af1073f7101ab8ada283e5605d859fe33a78b8419745b78
studies/obs-open-01/source-recovery/OBS_OPEN_SRC01_US30_M1_RELOAD_run1.tsv	2828216	3f8a896fd71dc33b45b9f7c4cdb4709d33e0398da3d5bbf412b38012c99855a2
studies/obs-open-01/source-recovery/OBS_OPEN_SRC01_US30_M1_RELOAD_run2.tsv	2828216	3f8a896fd71dc33b45b9f7c4cdb4709d33e0398da3d5bbf412b38012c99855a2
studies/obs-open-01/source-recovery/OBS_OPEN_SRC01_US30_M5_RELOAD_run1.tsv	2746306	7d782affb383d7c7809630e66ad5b09af94d3e62a3e6caf7b567887d1583f90c
studies/obs-open-01/source-recovery/OBS_OPEN_SRC01_US30_M5_RELOAD_run2.tsv	2746306	7d782affb383d7c7809630e66ad5b09af94d3e62a3e6caf7b567887d1583f90c
