canonical_instrument	broker_symbol	data_source_id	holdout_id	window_start	window_end_exclusive	status
DE40	DE40	METAQUOTES_DEMO	RECOVERY_A	1774224000	1774656000	RESERVED_UNTOUCHED
DE40	DE40	METAQUOTES_DEMO	RECOVERY_B	1785110400	1785542400	RESERVED_UNTOUCHED
FRA40	FRA40	METAQUOTES_DEMO	RECOVERY_A	1774224000	1774656000	RESERVED_UNTOUCHED
FRA40	FRA40	METAQUOTES_DEMO	RECOVERY_B	1785110400	1785542400	RESERVED_UNTOUCHED
JPN225	JPN225	METAQUOTES_DEMO	RECOVERY_A	1774224000	1774656000	RESERVED_UNTOUCHED
JPN225	JPN225	METAQUOTES_DEMO	RECOVERY_B	1785110400	1785542400	RESERVED_UNTOUCHED
US30	US30	METAQUOTES_DEMO	RECOVERY_A	1774224000	1774656000	RESERVED_UNTOUCHED
US30	US30	METAQUOTES_DEMO	RECOVERY_B	1785110400	1785542400	RESERVED_UNTOUCHED
US500	US500	METAQUOTES_DEMO	RECOVERY_A	1774224000	1774656000	RESERVED_UNTOUCHED
US500	US500	METAQUOTES_DEMO	RECOVERY_B	1785110400	1785542400	RESERVED_UNTOUCHED
USTEC	USTEC	METAQUOTES_DEMO	RECOVERY_A	1774224000	1774656000	RESERVED_UNTOUCHED
USTEC	USTEC	METAQUOTES_DEMO	RECOVERY_B	1785110400	1785542400	RESERVED_UNTOUCHED
