capture_mode	event_kind	symbol	timeframe	tick_time	bar_open	shift	original_b0	original_b1	original_b2	original_b3	translated_b0	translated_b1	translated_b2	translated_b3	v2_legacy_b0	v2_legacy_b1	v2_legacy_b2	v2_legacy_b3	v2_lifecycle	v2_geometry_known	v2_interaction_eligible	v2_location	v2_grammar_event	bars_calculated_original	bars_calculated_translated	bars_calculated_v2
0	CURRENT_OPEN	US30	PERIOD_M5	1704157200	1704157200	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69876	69876	69876
0	COMPLETED_BAR	US30	PERIOD_M5	1704157500	1704157200	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69877	69877	69877
0	CURRENT_OPEN	US30	PERIOD_M5	1704157500	1704157500	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69877	69877	69877
0	COMPLETED_BAR	US30	PERIOD_M5	1704157800	1704157500	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69878	69878	69878
0	CURRENT_OPEN	US30	PERIOD_M5	1704157800	1704157800	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69878	69878	69878
0	COMPLETED_BAR	US30	PERIOD_M5	1704158100	1704157800	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69879	69879	69879
0	CURRENT_OPEN	US30	PERIOD_M5	1704158100	1704158100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69879	69879	69879
0	COMPLETED_BAR	US30	PERIOD_M5	1704158400	1704158100	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69880	69880	69880
0	CURRENT_OPEN	US30	PERIOD_M5	1704158400	1704158400	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69880	69880	69880
0	COMPLETED_BAR	US30	PERIOD_M5	1704158700	1704158400	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69881	69881	69881
0	CURRENT_OPEN	US30	PERIOD_M5	1704158700	1704158700	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69881	69881	69881
0	COMPLETED_BAR	US30	PERIOD_M5	1704159000	1704158700	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69882	69882	69882
0	CURRENT_OPEN	US30	PERIOD_M5	1704159000	1704159000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69882	69882	69882
0	COMPLETED_BAR	US30	PERIOD_M5	1704159300	1704159000	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69883	69883	69883
0	CURRENT_OPEN	US30	PERIOD_M5	1704159300	1704159300	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69883	69883	69883
0	COMPLETED_BAR	US30	PERIOD_M5	1704159600	1704159300	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69884	69884	69884
0	CURRENT_OPEN	US30	PERIOD_M5	1704159600	1704159600	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69884	69884	69884
0	COMPLETED_BAR	US30	PERIOD_M5	1704159900	1704159600	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69885	69885	69885
0	CURRENT_OPEN	US30	PERIOD_M5	1704159900	1704159900	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69885	69885	69885
0	COMPLETED_BAR	US30	PERIOD_M5	1704160200	1704159900	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69886	69886	69886
0	CURRENT_OPEN	US30	PERIOD_M5	1704160200	1704160200	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69886	69886	69886
0	COMPLETED_BAR	US30	PERIOD_M5	1704160500	1704160200	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69887	69887	69887
0	CURRENT_OPEN	US30	PERIOD_M5	1704160500	1704160500	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69887	69887	69887
0	COMPLETED_BAR	US30	PERIOD_M5	1704160800	1704160500	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69888	69888	69888
0	CURRENT_OPEN	US30	PERIOD_M5	1704160800	1704160800	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69888	69888	69888
0	COMPLETED_BAR	US30	PERIOD_M5	1704161100	1704160800	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69889	69889	69889
0	CURRENT_OPEN	US30	PERIOD_M5	1704161100	1704161100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69889	69889	69889
0	COMPLETED_BAR	US30	PERIOD_M5	1704161400	1704161100	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69890	69890	69890
0	CURRENT_OPEN	US30	PERIOD_M5	1704161400	1704161400	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69890	69890	69890
0	COMPLETED_BAR	US30	PERIOD_M5	1704161700	1704161400	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69891	69891	69891
0	CURRENT_OPEN	US30	PERIOD_M5	1704161700	1704161700	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69891	69891	69891
0	COMPLETED_BAR	US30	PERIOD_M5	1704162000	1704161700	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69892	69892	69892
0	CURRENT_OPEN	US30	PERIOD_M5	1704162000	1704162000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69892	69892	69892
0	COMPLETED_BAR	US30	PERIOD_M5	1704162300	1704162000	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69893	69893	69893
0	CURRENT_OPEN	US30	PERIOD_M5	1704162300	1704162300	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69893	69893	69893
0	COMPLETED_BAR	US30	PERIOD_M5	1704162600	1704162300	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69894	69894	69894
0	CURRENT_OPEN	US30	PERIOD_M5	1704162600	1704162600	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69894	69894	69894
0	COMPLETED_BAR	US30	PERIOD_M5	1704162900	1704162600	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69895	69895	69895
0	CURRENT_OPEN	US30	PERIOD_M5	1704162900	1704162900	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69895	69895	69895
0	COMPLETED_BAR	US30	PERIOD_M5	1704163200	1704162900	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69896	69896	69896
0	CURRENT_OPEN	US30	PERIOD_M5	1704163200	1704163200	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69896	69896	69896
0	COMPLETED_BAR	US30	PERIOD_M5	1704163500	1704163200	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69897	69897	69897
0	CURRENT_OPEN	US30	PERIOD_M5	1704163500	1704163500	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69897	69897	69897
0	COMPLETED_BAR	US30	PERIOD_M5	1704163800	1704163500	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69898	69898	69898
0	CURRENT_OPEN	US30	PERIOD_M5	1704163800	1704163800	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69898	69898	69898
0	COMPLETED_BAR	US30	PERIOD_M5	1704164100	1704163800	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69899	69899	69899
0	CURRENT_OPEN	US30	PERIOD_M5	1704164100	1704164100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69899	69899	69899
0	COMPLETED_BAR	US30	PERIOD_M5	1704164400	1704164100	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69900	69900	69900
0	CURRENT_OPEN	US30	PERIOD_M5	1704164400	1704164400	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69900	69900	69900
0	COMPLETED_BAR	US30	PERIOD_M5	1704164700	1704164400	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69901	69901	69901
0	CURRENT_OPEN	US30	PERIOD_M5	1704164700	1704164700	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69901	69901	69901
0	COMPLETED_BAR	US30	PERIOD_M5	1704165000	1704164700	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69902	69902	69902
0	CURRENT_OPEN	US30	PERIOD_M5	1704165000	1704165000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69902	69902	69902
0	COMPLETED_BAR	US30	PERIOD_M5	1704165300	1704165000	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69903	69903	69903
0	CURRENT_OPEN	US30	PERIOD_M5	1704165300	1704165300	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69903	69903	69903
0	COMPLETED_BAR	US30	PERIOD_M5	1704165600	1704165300	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69904	69904	69904
0	CURRENT_OPEN	US30	PERIOD_M5	1704165600	1704165600	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00	0.00	0.00	NA	NA	69904	69904	69904
