field_id	layer	value_type	value_mode	value_json	evidence_class	run_binding	consumption_status	config_hash_membership	provenance_json
master.compatibility.include_broken	COMPATIBILITY	bool	CONSTANT	{"mode":"CONSTANT","value":false,"distinct_count":1,"distinct_values":[false]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterTypes.mqh","sha256":"ec80e5a2770bd55048990111ca96af9bd18eb17b06f8057cd1bafbe3d1fa7d8e","marker":"cfg.include_broken","lines":[446,491]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterTypes.mqh","sha256":"ec80e5a2770bd55048990111ca96af9bd18eb17b06f8057cd1bafbe3d1fa7d8e","marker":"cfg.include_broken","lines":[446,491]}]
master.compatibility.require_role_compatibility	COMPATIBILITY	bool	CONSTANT	{"mode":"CONSTANT","value":true,"distinct_count":1,"distinct_values":[true]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterTypes.mqh","sha256":"ec80e5a2770bd55048990111ca96af9bd18eb17b06f8057cd1bafbe3d1fa7d8e","marker":"cfg.require_role_compatibility","lines":[445,504]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterTypes.mqh","sha256":"ec80e5a2770bd55048990111ca96af9bd18eb17b06f8057cd1bafbe3d1fa7d8e","marker":"cfg.require_role_compatibility","lines":[445,504]}]
master.clustering.epsilon_atr	CLUSTERING	double	CONSTANT	{"mode":"CONSTANT","value":0.12,"distinct_count":1,"distinct_values":[0.12]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterTypes.mqh","sha256":"ec80e5a2770bd55048990111ca96af9bd18eb17b06f8057cd1bafbe3d1fa7d8e","marker":"cfg.epsilon_atr","lines":[477]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterController.mqh","sha256":"237ee3d3c8197ee19c9d2f65d746e9b0386030df438d29528ea5aa1935d5e0fd","marker":"m_config.clustering.epsilon_atr","lines":[160,527]}]
master.compatibility.include_developing	COMPATIBILITY	bool	CONSTANT	{"mode":"CONSTANT","value":true,"distinct_count":1,"distinct_values":[true]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterTypes.mqh","sha256":"ec80e5a2770bd55048990111ca96af9bd18eb17b06f8057cd1bafbe3d1fa7d8e","marker":"cfg.include_developing","lines":[447,494]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterTypes.mqh","sha256":"ec80e5a2770bd55048990111ca96af9bd18eb17b06f8057cd1bafbe3d1fa7d8e","marker":"cfg.include_developing","lines":[447,494]}]
master.wayne.include_m_pivots	WAYNE	bool	CONSTANT	{"mode":"CONSTANT","value":true,"distinct_count":1,"distinct_values":[true]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01wayne.mqh","sha256":"fd81fc9c667272c15c4005ad65f9821863050d45ee4437171809946c23c94f77","marker":"cfg.include_m_pivots","lines":[181,611,640,654,668,682,696,710]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01wayne.mqh","sha256":"fd81fc9c667272c15c4005ad65f9821863050d45ee4437171809946c23c94f77","marker":"m_cfg.include_m_pivots","lines":[611,640,654,668,682,696,710]}]
master.wayne.include_standard_pivots	WAYNE	bool	CONSTANT	{"mode":"CONSTANT","value":true,"distinct_count":1,"distinct_values":[true]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01wayne.mqh","sha256":"fd81fc9c667272c15c4005ad65f9821863050d45ee4437171809946c23c94f77","marker":"cfg.include_standard_pivots","lines":[180,608,633,647,661,675,689,703,717]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01wayne.mqh","sha256":"fd81fc9c667272c15c4005ad65f9821863050d45ee4437171809946c23c94f77","marker":"m_cfg.include_standard_pivots","lines":[608,633,647,661,675,689,703,717]}]
master.compatibility.family_masks	COMPATIBILITY	u64[16]	CONSTANT	{"mode":"CONSTANT","value":[2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046],"distinct_count":1,"distinct_values":[2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046,2046]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterTypes.mqh","sha256":"ec80e5a2770bd55048990111ca96af9bd18eb17b06f8057cd1bafbe3d1fa7d8e","marker":"cfg.family_masks[i] = all_families","lines":[444]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterTypes.mqh","sha256":"ec80e5a2770bd55048990111ca96af9bd18eb17b06f8057cd1bafbe3d1fa7d8e","marker":"cfg.family_masks","lines":[444,464,465,469,470,501]}]
master.wayne.include_zones	WAYNE	bool	CONSTANT	{"mode":"CONSTANT","value":true,"distinct_count":1,"distinct_values":[true]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01wayne.mqh","sha256":"fd81fc9c667272c15c4005ad65f9821863050d45ee4437171809946c23c94f77","marker":"cfg.include_zones","lines":[182,614,726]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01wayne.mqh","sha256":"fd81fc9c667272c15c4005ad65f9821863050d45ee4437171809946c23c94f77","marker":"m_cfg.include_zones","lines":[614,726]}]
master.lifecycle.match_distance_atr	NODE_LIFECYCLE	double	CONSTANT	{"mode":"CONSTANT","value":0.2,"distinct_count":1,"distinct_values":[0.2]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterTypes.mqh","sha256":"ec80e5a2770bd55048990111ca96af9bd18eb17b06f8057cd1bafbe3d1fa7d8e","marker":"cfg.match_distance_atr","lines":[349]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterController.mqh","sha256":"237ee3d3c8197ee19c9d2f65d746e9b0386030df438d29528ea5aa1935d5e0fd","marker":"m_config.lifecycle.match_distance_atr","lines":[164,531]}]
master.clustering.center_role_tolerance_atr	CLUSTERING	double	CONSTANT	{"mode":"CONSTANT","value":0.15,"distinct_count":1,"distinct_values":[0.15]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterTypes.mqh","sha256":"ec80e5a2770bd55048990111ca96af9bd18eb17b06f8057cd1bafbe3d1fa7d8e","marker":"cfg.center_role_tolerance_atr","lines":[482]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterController.mqh","sha256":"237ee3d3c8197ee19c9d2f65d746e9b0386030df438d29528ea5aa1935d5e0fd","marker":"m_config.clustering.center_role_tolerance_atr","lines":[163,362,364]}]
