canonical_instrument	broker_symbol	cohort	instance_tag	from_date	to_date	window_start	window_end	repeats	data_fingerprint
US30	US30	ordinary	QUALRG2_ORD	2026.07.31	2026.08.01	1785456000	1785516600	1	US30_20260731_M5_RG2QUAL_V1
US30	US30	active	QUALRG2_ACTIVE	2026.08.03	2026.08.04	1785715200	1785775800	2	US30_20260803_M5_RG2QUAL_V1
FRA40	FRA40	ordinary	QUALRG2_ORD	2026.07.31	2026.08.01	1785456000	1785516600	1	FRA40_20260731_M5_RG2QUAL_V1
FRA40	FRA40	active	QUALRG2_ACTIVE	2026.08.03	2026.08.04	1785715200	1785775800	2	FRA40_20260803_M5_RG2QUAL_V1
DE40	DE40	ordinary	QUALRG2_ORD	2026.07.31	2026.08.01	1785456000	1785516600	1	DE40_20260731_M5_RG2QUAL_V1
DE40	DE40	active	QUALRG2_ACTIVE	2026.08.03	2026.08.04	1785715200	1785775800	2	DE40_20260803_M5_RG2QUAL_V1
JPN225	JPN225	ordinary	QUALRG2_ORD	2026.07.31	2026.08.01	1785456000	1785516600	1	JPN225_20260731_M5_RG2QUAL_V1
JPN225	JPN225	active	QUALRG2_ACTIVE	2026.08.03	2026.08.04	1785715200	1785775800	2	JPN225_20260803_M5_RG2QUAL_V1
US500	US500	ordinary	QUALRG2_ORD	2026.07.31	2026.08.01	1785456000	1785516600	1	US500_20260731_M5_RG2QUAL_V1
US500	US500	active	QUALRG2_ACTIVE	2026.08.03	2026.08.04	1785715200	1785775800	2	US500_20260803_M5_RG2QUAL_V1
USTEC	USTEC	ordinary	QUALRG2_ORD	2026.07.31	2026.08.01	1785456000	1785516600	1	USTEC_20260731_M5_RG2QUAL_V1
USTEC	USTEC	active	QUALRG2_ACTIVE	2026.08.03	2026.08.04	1785715200	1785775800	2	USTEC_20260803_M5_RG2QUAL_V1
